,Team,Year,W,L,Pct,Attend,Payroll,OPS,ERA
71,Los Angeles Angels,2017,80,82,0.4938271604938271,3019585,143965833,0.7120000000000001,4.2
72,Seattle Mariners,2017,78,84,0.4814814814814815,2135445,155207720,0.7490000000000001,4.46
73,Texas Rangers,2017,78,84,0.4814814814814815,2507760,178431396,0.75,4.66
74,Oakland Athletics,2017,75,87,0.462962962962963,1475721,70601667,0.755,4.67
75,Washington Nationals,2017,97,65,0.5987654320987654,2524980,162742157,0.782,3.88
76,Miami Marlins,2017,77,85,0.4753086419753086,1583014,115348302,0.7609999999999999,4.82
77,Atlanta Braves,2017,72,90,0.4444444444444444,2505252,137339527,0.738,4.72
78,New York Mets,2017,70,92,0.4320987654320987,2460622,176284679,0.755,5.01
79,Philadelphia Phillies,2017,66,96,0.4074074074074074,1905354,87418378,0.723,4.55
80,Chicago Cubs,2017,92,70,0.5679012345679012,3199562,170088502,0.775,3.95
81,Milwaukee Brewers,2017,86,76,0.5308641975308642,2627705,61020089,0.7509999999999999,4.0
82,St. Louis Cardinals,2017,83,79,0.5123456790123457,3448337,146630000,0.76,4.01
83,Pittsburgh Pirates,2017,75,87,0.462962962962963,1919447,94637833,0.7040000000000001,4.22
84,Cincinnati Reds,2017,68,94,0.41975308641975306,1836917,82375785,0.7609999999999999,5.17
85,Los Angeles Dodgers,2017,104,58,0.6419753086419753,3765856,187989811,0.7709999999999999,3.38
86,Arizona Diamondbacks,2017,93,69,0.5740740740740741,2134375,90730499,0.774,3.66
87,Colorado Rockies,2017,87,75,0.5370370370370371,2953650,101513571,0.7809999999999999,4.51
88,San Diego Padres,2017,71,91,0.4382716049382716,2138491,34574400,0.6920000000000001,4.67
89,San Francisco Giants,2017,64,98,0.3950617283950617,3303652,176531278,0.6890000000000001,4.5
90,Boston Red Sox,2016,93,69,0.5740740740740741,2955434,199864178,0.81,4.0
91,Baltimore Orioles,2016,89,73,0.5493827160493827,2172344,147943713,0.76,4.22
92,Toronto Blue Jays,2016,89,73,0.5493827160493827,3392099,140582027,0.755,3.78
93,New York Yankees,2016,84,78,0.5185185185185185,3063405,227854349,0.72,4.16
94,Tampa Bay Rays,2016,68,94,0.41975308641975306,1286163,64120323,0.733,4.2
95,Cleveland Indians,2016,94,67,0.5838509316770186,1591667,98006899,0.759,3.84
96,Detroit Tigers,2016,86,75,0.5341614906832298,2493859,199525500,0.769,4.24
97,Kansas City Royals,2016,81,81,0.5,2557712,137606125,0.7120000000000001,4.21
98,Chicago White Sox,2016,78,84,0.4814814814814815,1746293,115998667,0.727,4.1
